"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"141","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","DBM","Blackmouted Dogfish",NA,0,0,0
"142","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","DGN","Nurse Hound",NA,0,0,0
"143","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","DGS","Spurdog",NA,0,0,0
"144","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","GAG","Tope Shark",NA,0,0,0
"145","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","HAD","Haddock",20,20,0,20
"146","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","HER","Herring",17.5,0,0,0
"147","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","HKE","European Hake",20,370,28,342
"148","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","HOM","Horse Mackerel (Scad)",15,40,0,40
"149","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","JAA","Blue Jack Mackerel ( Blue Scad)",NA,0,0,0
"150","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","LBI","Four Spot Megrim",19,0,0,0
"151","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","LSD","Lesser Spotted Dogfish",NA,2,0,0
"152","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","MAC","European Mackerel",24,0,0,0
"153","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","MEG","Megrim",20,34,20,14
"154","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","MON","Anglerfish (Monk)",20,2,0,2
"155","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","NEP","Norway Lobster",NA,0,0,0
"156","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","NPO","Norway Pout",NA,0,0,0
"157","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","PLE","European Plaice",12,0,0,0
"158","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","PTR","Painted/Small Eyed Ray",NA,0,0,0
"159","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","SDR","Spotted Ray",NA,0,0,0
"160","IGFS                    ",-12.081,52.987,"2009-01-01T00:00:00Z",2009,"168","EXP","SDS","Starry Smoot Hound",NA,0,0,0
