"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","AreaKmSq","CatchKg","RaisedNo"
"1104","IGFS2008",2008,144,-8.614,50.558,"VIIg",4.10899917087526,36.6,526.214
"1105","IGFS2014",2014,142,-8.613,50.558,"VIIg",5.59194067344514,24.586,165.938
"1106","IGFS2010",2010,79,-8.614,50.56,"VIIg",5.58472384951795,123.444,2158.647
"1107","IGFS2015",2015,83,-8.613,50.56,"VIIg",6.54567893352035,34.794,568.196
"1108","IGFS2012",2012,98,-8.612,50.561,"VIIg",5.09936708717247,33.745,282
"1109","IGFS2009",2009,121,-8.612,50.561,"VIIg",4.15456964729052,96.724,3331.341
"1110","IGFS2006",2006,134,-8.612,50.563,"VIIg",4.32832298482671,23.672,641.723
"1111","IGFS2005",2005,45,-8.612,50.566,"VIIg",5.07353259443815,25.294,470.589
"1112","IGFS2013",2013,67,-8.599,50.583,"VIIg",3.60476319886081,15.122,163
"1113","IGFS2011",2011,85,-8.597,50.586,"VIIg",4.35335263516883,172.444,8097.323
"1114","IGFS2012",2012,99,-8.879,50.602,"VIIg",4.25365641259951,37.732,352.187
"1115","IGFS2013",2013,68,-8.88,50.604,"VIIg",4.33877615701421,8.677,207
"1116","IGFS2011",2011,86,-8.88,50.604,"VIIg",6.04821672016401,80.448,2239.535
"1117","IGFS2006",2006,133,-8.88,50.604,"VIIg",5.07990616151706,3150.392,51766.79
"1118","IGFS2010",2010,84,-7.604,50.612,"VIIg",4.68319756868504,194.688,3514.266
"1119","IGFS2017",2017,133,-7.602,50.613,"VIIg",5.00665734015245,51.848,444.303
"1120","IGFS2016",2016,70,-7.605,50.615,"VIIg",8.62443127092055,90.317,317
"1121","IGFS2012",2012,93,-7.606,50.617,"VIIg",5.94492406439792,36.26,546
"1122","IGFS2014",2014,125,-7.606,50.618,"VIIg",7.44513938195559,76.476,1161.41
"1123","IGFS2015",2015,115,-7.606,50.619,"VIIg",5.8047884732628,37.449,687.167
"1124","IGFS2011",2011,80,-7.606,50.621,"VIIg",4.36584232471127,36.391,406.985
"1125","IGFS2005",2005,44,-8.908,50.623,"VIIg",5.04515855244519,31.328,648.329
"1126","IGFS2008",2008,143,-8.908,50.623,"VIIg",3.90700638791657,1417.956,19313.2
"1127","IGFS2007",2007,119,-8.247,50.623,"VIIg",3.63847978355039,52.246,384.893
"1128","IGFS2010",2010,78,-8.908,50.624,"VIIg",5.16139622598632,98.6,1235.88
"1129","IGFS2009",2009,105,-8.243,50.624,"VIIg",4.43996862860662,22.558,671.443
"1130","IGFS2012",2012,96,-8.242,50.624,"VIIg",5.06278150461226,46.203,583.378
"1131","IGFS2008",2008,145,-8.242,50.624,"VIIg",5.38731155030748,26.344,638.731
"1132","IGFS2016",2016,146,-8.913,50.625,"VIIg",5.07732458255959,195.631,1872.656
"1133","IGFS2014",2014,141,-8.909,50.625,"VIIg",6.91846342313059,75.042,520
"1134","IGFS2005",2005,46,-8.244,50.625,"VIIg",5.28869862951749,21.612,421.161
"1135","IGFS2015",2015,82,-8.91,50.626,"VIIg",6.57862671687384,518.564,5634.13
"1136","IGFS2017",2017,128,-8.91,50.626,"VIIg",6.93168360686707,138.198,1209.879
"1137","IGFS2009",2009,120,-8.913,50.628,"VIIg",6.22987116048034,176.388,4902.988
"1138","IGFS2010",2010,81,-8.232,50.629,"VIIg",5.40145887817591,110.992,2303.518
"1139","IGFS2007",2007,155,-8.915,50.63,"VIIg",5.75775682425954,42.153,565.679
"1140","IGFS2014",2014,132,-8.213,50.637,"VIIg",6.02214861585383,41.36,532
"1141","IGFS2008",2008,148,-7.613,50.638,"VIIg",5.07221433223244,54.903,872.392
"1142","IGFS2006",2006,135,-8.209,50.64,"VIIg",4.12910104146493,7.676,150
"1143","IGFS2011",2011,83,-8.204,50.641,"VIIg",4.76928355739193,17.842,218
"1144","IGFS2013",2013,65,-8.198,50.644,"VIIg",2.6871086307243,19.278,360.898
"1145","IGFS2005",2005,36,-7.616,50.646,"VIIg",3.33894245757916,18.168,366.363
