metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg,fldShotLatDecimalDegrees,fldShotLonDecimalDegrees,fldHaulLatDecimalDegrees,fldHaulLonDecimalDegrees,Gear_Type,TowDurationMin,AreaKmSq
TOUGHBOOK1115_27102003,00:00.0,2003,10,Celtic Explorer,99,NoFishingGround,IGFS2003,26,Catch,Male,40,7,0.31925395,54.574,-8.928,54.605,-8.966,Groundgear_A,31,0.423586765
TOUGHBOOK118_28102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,28,Catch,Male,22,14,0.099029895,51.402,-6.016,51.372,-6.012,Groundgear_A,30,0.40861035
D6MF0R0J19_15112007,00:00.0,2007,11,Celtic Explorer,22,NoFishingGround,IGFS2007,139,Catch,Male,38,4,0.158907995,51.615,-6.191,51.584,-6.212,Groundgear_A,30,0.4042894
MI307416_24112012,00:00.0,2012,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2012,92,Catch,Female,27,1,0.012678569,50.646,-7.281,50.649,-7.334,Groundgear_A,30,0.420750624
TOUGHBOOK134_20112005,00:00.0,2005,11,Celtic Explorer,99,E Stanton,IGFS2005,119,Catch,Male,29,2,0.029300777,56.327,-8.034,56.33,-7.986,Groundgear_D,30,0.382480684
MI3058115_30102013,00:00.0,2013,10,Celtic Explorer,19,NoFishingGround,IGFS2013,56,Catch,Female,22,1,0.006870517,51.515,-10.031,51.495,-10.07,Groundgear_A,30,0.296510212
TOUGHBOOK129_04112005,00:00.0,2005,11,Celtic Explorer,19,NoFishingGround,IGFS2005,60,Catch,Male,37,1,0.035011654,51.127,-9.595,51.097,-9.592,Groundgear_A,30,0.397950074
MI3058118_31102013,00:00.0,2013,10,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2013,61,Catch,Female,27,1,0.012774188,50.727,-7.838,50.706,-7.879,Groundgear_A,30,0.429714481
MI307387_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,79,Catch,Female,19,1,0.0045924,50.646,-7.291,50.651,-7.343,Groundgear_A,30,0.448957081
D6MF0R0J18_10112007,00:00.0,2007,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2007,122,Catch,Male,39,8,0.336792558,50.65,-7.338,50.646,-7.286,Groundgear_A,30,0.44455786
WKSTN113_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,80,Catch,Female,29,6,0.092176163,50.704,-8.497,50.73,-8.46,Groundgear_A,30,0.417076062
