metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg
TOUGHBOOK215_12112006,00:00.0,2006,11,Celtic Explorer,17,Aran,IGFS2006,109,Catch,Male,28,1,0.014645432
TOUGHBOOK1117_07112003,00:00.0,2003,11,Celtic Explorer,19,Kenmare Bay,IGFS2003,61,Catch,Female,21,1,0.006186191
MI307423_25112012,00:00.0,2012,11,Celtic Explorer,2021,NoFishingGround,IGFS2012,99,Catch,Male,28,1,0.014628865
TOUGHBOOK1136_19112003,00:00.0,2003,11,Celtic Explorer,22,NoFishingGround,IGFS2003,104,Catch,Female,33,5,0.115023819
TOUGHBOOK1130_16112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,90,Catch,Male,21,1,0.005808184
MI3073120_12122011,00:00.0,2011,12,Celtic Explorer,17,Galway bay,IGFS2011,163,Catch,Female,25,1,0.009510019
MI307484_03122014,00:00.0,2014,12,Celtic Explorer,2021,Banana,IGFS2014,128,Catch,Male,36,4,0.133121651
TOUGHBOOK122_29102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,32,Catch,Male,34,14,0.386019747
D6MF0R0J25_17112007,00:00.0,2007,11,Celtic Explorer,2021,NoFishingGround,IGFS2007,146,Catch,Female,39,1,0.036821293
D6MF0R0J34_25112007,00:00.0,2007,11,Celtic Explorer,22,NoFishingGround,IGFS2007,182,Catch,Male,24,3,0.027878648
D6MF0R0J22_16112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,142,Catch,Male,20,10,0.05100146
WKSTN113_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,99,Catch,Male,34,1,0.026709322
MI3058129_04112013,00:00.0,2013,11,Celtic Explorer,2021,NoFishingGround,IGFS2013,80,Catch,Female,21,1,0.005837174
TOUGHBOOK224_21112006,00:00.0,2006,11,Celtic Explorer,22,Smalls,IGFS2006,146,Catch,Female,26,8,0.091216161
WKSTN17_03112009,00:00.0,2009,11,Celtic Explorer,19,Galley Ground 1,IGFS2009,80,Catch,Male,34,2,0.056823914
MI307466_24112014,00:00.0,2014,11,Celtic Explorer,19,NoFishingGround,IGFS2014,94,Catch,Male,55,1,0.124526961
3DYAA01482143_13112004,00:00.0,2004,11,Celtic Explorer,14,E Irish Sea,IGFS2004,137,Catch,Male,31,2,0.045688048
TOUGHBOOK1131_16112003,00:00.0,2003,11,Celtic Explorer,19,Galley Ground 4,IGFS2003,91,Catch,Female,24,6,0.052714317
