fldPrimeStation,Yr,LonDec,LatDec,ARG,BLR,BOF,COD,CUR,DAB,DFL,DGS,DII,ESB,GSS,GUG,HAD,HER,HKE,HOM,JOD,LBI,LSD,MAC,MEG,MON,NOP,PLE,POD,POK,POL,PTR,SAR,SDR,SHR,SKT,SOL,SPR,THR,UNR,WAF,WHB,WHG,CatchKg
FG63,2012,-10.656,50.576,0,0,0.478,0,0,0,0,0,0,0,0.222,1.034,0.265,0,7.32,0.038,0,0.094,0.878,133.816,2.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.56,0,225.919
56,2005,-10.189,53.073,0,0,0.012,0,0,0,0,2.46,0,0,0,0.241,0.081,0.294,0.941,0.003,0,0,5.82,0,0.176,1.315,0.07,0,0.405,0,0,0,0,1.593,0,0.348,0.455,0.687,1.53,0,0,0.05,0.556,17.037
FG93,2010,-7.716,56.031,0,0,0.07,0,0.449,0.855,0,0,0,0,0,0.433,23.87,2.775,47.394,2.485,1.167,0,66.51,33,3.343,0,56.24,1.278,3.114,0.535,0,0,0,0,0,0,0,0,1.777,0,1.053,297.86,15.38,559.588
12,2012,-8.601,55.45,0,0,0,0,2.567,1.104,0,0,0,0,0,21.115,2.2,1.444,0.103,7.48,3.88,0,41.8,115.036,3.189,1.83,0,2.948,0.036,0,0,0,0,7.44,0,0,0,0,2.776,0,0,0,49.923,264.871
FG177,2014,-7.366,52.033,0,0,0,0.34,0,2.908,0,0,0,0,0,3.06,18.458,0,6.82,0.3,0,0,15.13,0.476,1.746,1.475,0.831,33.58,2.485,0,0,0,0,0.82,0,0,0.884,0,4.04,0,0,0,681.066,774.419
53A,2003,-8.257,51.635,0,0,0,0,0,2.344,0,0,0,0,0,1.037,21.068,0,3.394,2.839,0.91,0,51.51,0,1.072,2.857,0.408,0,6.207,0,0.74,0,0,4.74,0,0,0,2.322,0,0,0,3.232,62.787,167.467
FG158,2013,-11.462,51.246,0,0,0,0,0,0,0,0,0,0,0.717,0.073,0,0,31.76,0.301,0,0.451,2.037,1.027,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.432,65.789,0,103.689
MB44,2012,-8.776,54.871,0,0,0,0,1.028,0.561,0,0,0,0,0,0.436,0,2.318,0,44.38,0.45,0,16.162,36.051,0,0,0.051,0.671,0.179,0,0,0,0,1.751,0,0,0,0,0.488,0,0,0,2.178,106.704
FG141,2016,-8.768,51.098,0,0,0.004,0,0,0,0,0,0,0,0.02,0.082,1.36,0,20.284,0.876,0,0,3.744,2.188,0.454,0.048,4.896,0.494,0.072,0,0,0,0,0,0,0,0,0,0,0,1.768,0.06,0.394,36.744
MB53,2003,-11.045,52.083,0,0,16.42,0,0,0,0,0,0,0,0,0.462,208.232,0,0.837,0.505,0,0,2.28,0,2.328,5.79,14.54,0.374,0.746,0,0,0,0,0,0,0,0,0,0,0,0,22.42,13.01,287.944
GD8,2014,-9.57,55.24,0,0,42.64,0,0,0.148,0,0,0.656,0,0,1.726,68.844,0,0.708,5.21,1.654,0,19.86,0.98,0.402,0,61.511,1.428,7.975,0,0,0,0,0.646,0,0,0,0,1.1,0,0,18.443,5.866,239.797
MB14,2003,-10.918,52.748,0,0,15.655,0,0,0.387,0,0,0,0,0,1.624,172.551,0,1.275,0.478,0,0,2.39,0.273,3.047,1.378,11.669,0.3,0.032,0,0,0,0,0,0,0,0,0,1.45,0,0,6.847,4.4,223.756
MM1,2017,-9.274,54.322,0,9.36,0,0,1.304,12.895,0,0,0,0,0,17.08,27.076,6.57,0,11.693,1.497,0,9.73,9.38,0,0,0,17.563,0,0,0,0,0,3.251,0,0,0.41,0,2.901,0,0,0,57.125,187.835
2,2004,-8.307,56.317,0.016,0,0.013,0,0,0.254,0,0,0,0,0,4.85,26.104,1.007,4.92,7.4,0,0,17.1,0.285,2.96,0.24,0.88,1.815,0.777,0.38,0,0,0,0,0,0,0,0,0,0,1.26,0.74,16.12,87.121
31,2010,-7.203,55.694,0,59.41,0,0,2.35,9.78,0,0,0,0,0,47.044,0,0,0,5.86,0.894,0,8.98,46.86,0,0,0,63.14,0,0,0,0,0,12.65,0,0,0.408,0,0,0,0,0,1.525,258.901
32,2008,-7.331,55.631,0,0,0,7.32,0,0,0,0,0,0,0,0.699,1.755,0,0,0.313,11,0,23.46,0,0,0,0.065,0.905,0.133,0,0,0,0,0,0,0,0.356,0,0,0,0,0,0.62,46.626
FG58,2013,-9.783,51.356,0,0,0.06,0,0,0.995,0,0,0,0,0,0.015,3.46,0,3.231,0.707,0.111,0,4.955,0,0.598,1.58,3.664,0.216,12.49,0,3.34,0,0,2.001,0,0,0,0.046,0,0,0.107,0.209,23.573,61.358
FG15,2008,-7.427,51.33,0,0,0,4.45,0,1.29,0,0,0,0,0,7.67,82.278,0,40.77,0.374,0.328,0,5.28,10.454,1.58,2.6,34.326,2.392,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,103.116,322.688
FG68,2005,-10.766,51.846,0,0,6.5,0,0,0.057,0,0,0,0,0,0.748,27.226,0,0.528,0,0,0,0,40.21,9.641,6.05,0.08,0.426,3.102,0,0,0,0,0,0,0,0.634,0,0,0,0.363,61.27,0,156.835
FG171,2012,-11.625,52.366,0,0,0.534,0,0,0,0,0,0,0,0.17,17.12,48.174,0,3.292,0.246,0.988,0.216,2.808,718.6,3.008,0,0,0.574,6.955,0,0,0,0,0,0,0,0,0,0,0,1.874,59.98,2.76,867.299
FG10,2007,-9.827,51.233,0,0,199.03,0,0,0.239,0,0,0,0,0,0.235,20.315,0,6.78,0.26,0,0,5.132,0,0.414,0,0.141,0,4.139,0,0,0,0,0,0,0,0,0,0,0,2.1,0.341,0.588,239.714
44,2014,-5.503,51.251,0,0,0.001,0,0,3.296,0,0.685,0,328.43,0,2.025,0.512,2.479,0.03,168.414,3.206,0,10.49,4.184,0,0.1,0.23,8.8,2.309,0,0,14.65,0,33.74,0,0,0.188,0.001,0,0,0,0,0.16,583.93
FG61,2017,-10.889,50.347,0,0,0,0,0,0,0,0,0,0,0.278,0.962,0.599,0,20.46,312.11,0,0.525,2.981,1.634,2.512,3.23,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0.753,5.194,0,351.36
